date;bono_us;msci_pe
25/11/2011;0.0439;0.0020
28/11/2011;0.0436;0.0320
29/11/2011;0.0434;0.0328
30/11/2011;0.0435;-0.0303
01/12/2011;0.0437;0.0104
02/12/2011;0.0437;0.0042
05/12/2011;0.0442;-0.0052
06/12/2011;0.0445;0.0011
07/12/2011;0.0440;-0.0217
08/12/2011;0.0435;0.0034
09/12/2011;0.0435;0.0054
12/12/2011;0.0432;0.0161
13/12/2011;0.0433;-0.0048
14/12/2011;0.0437;0.0133
15/12/2011;0.0435;-0.0305
16/12/2011;0.0436;-0.0014
19/12/2011;0.0439;0.0235
20/12/2011;0.0448;0.0162
21/12/2011;0.0452;0.0270
22/12/2011;0.0451;0.0247
23/12/2011;0.0453;0.0125
26/12/2011;0.0452;0.0275
27/12/2011;0.0456;-0.0066
28/12/2011;0.0456;0.0102
29/12/2011;0.0452;0.0029
30/12/2011;0.0454;0.0271
02/01/2012;0.0457;-0.0426
03/01/2012;0.0459;-0.0092
04/01/2012;0.0454;0.0171
05/01/2012;0.0458;-0.0314
06/01/2012;0.0458;-0.0306
09/01/2012;0.0461;0.0202
10/01/2012;0.0460;-0.0179
11/01/2012;0.0458;-0.0023
12/01/2012;0.0454;0.0255
13/01/2012;0.0454;-0.0004
16/01/2012;0.0456;0.0184
17/01/2012;0.0452;0.0087
18/01/2012;0.0455;-0.0054
19/01/2012;0.0457;0.0059
20/01/2012;0.0459;-0.0169
23/01/2012;0.0455;-0.0103
24/01/2012;0.0458;0.0162
25/01/2012;0.0463;0.0102
26/01/2012;0.0468;0.0137
27/01/2012;0.0475;-0.0672
30/01/2012;0.0472;-0.0241
31/01/2012;0.0473;-0.0105
01/02/2012;0.0472;0.0252
02/02/2012;0.0476;0.0161
03/02/2012;0.0477;-0.0174
06/02/2012;0.0469;-0.0059
07/02/2012;0.0473;0.0099
08/02/2012;0.0464;0.0142
09/02/2012;0.0467;0.0021
10/02/2012;0.0466;-0.0261
13/02/2012;0.0472;-0.0139
14/02/2012;0.0470;0.0085
15/02/2012;0.0473;-0.0140
16/02/2012;0.0467;-0.0061
17/02/2012;0.0470;0.0119
20/02/2012;0.0478;-0.0033
21/02/2012;0.0480;0.0461
22/02/2012;0.0486;-0.0032
23/02/2012;0.0485;-0.0116
24/02/2012;0.0486;0.0175
27/02/2012;0.0486;0.0106
28/02/2012;0.0484;0.0203
29/02/2012;0.0490;0.0140
01/03/2012;0.0498;0.0002
