date;sp_index
25/11/2011;
28/11/2011;0.0163
29/11/2011;0.0037
30/11/2011;0.0000
01/12/2011;0.0094
02/12/2011;0.0036
05/12/2011;-0.0004
06/12/2011;0.0035
07/12/2011;-0.0063
08/12/2011;0.0012
09/12/2011;
12/12/2011;-0.0036
13/12/2011;-0.0039
14/12/2011;0.0055
15/12/2011;-0.0185
16/12/2011;0.0018
19/12/2011;0.0024
20/12/2011;-0.0017
21/12/2011;0.0072
22/12/2011;0.0077
23/12/2011;0.0012
26/12/2011;-0.0040
27/12/2011;0.0019
28/12/2011;-0.0091
29/12/2011;-0.0054
30/12/2011;0.0008
02/01/2012;-0.0081
03/01/2012;0.0086
04/01/2012;-0.0015
05/01/2012;0.0025
06/01/2012;-0.0033
09/01/2012;0.0100
10/01/2012;0.0035
11/01/2012;0.0073
12/01/2012;-0.0017
13/01/2012;
16/01/2012;-0.0033
17/01/2012;0.0075
18/01/2012;-0.0038
19/01/2012;0.0013
20/01/2012;0.0036
23/01/2012;-0.0105
24/01/2012;0.0082
25/01/2012;-0.0016
26/01/2012;-0.0015
27/01/2012;-0.0070
30/01/2012;-0.0019
31/01/2012;0.0020
01/02/2012;-0.0049
02/02/2012;0.0073
03/02/2012;0.0020
06/02/2012;0.0103
07/02/2012;0.0043
08/02/2012;0.0018
09/02/2012;0.0015
10/02/2012;-0.0017
13/02/2012;-0.0060
14/02/2012;0.0060
15/02/2012;-0.0026
16/02/2012;0.0010
17/02/2012;-0.0010
20/02/2012;-0.0065
21/02/2012;0.0074
22/02/2012;-0.0020
23/02/2012;-0.0042
24/02/2012;0.0023
27/02/2012;0.0062
28/02/2012;0.0043
29/02/2012;-0.0019
01/03/2012;-0.0104
02/03/2012;0.0008
05/03/2012;-0.0078
06/03/2012;0.0012
07/03/2012;0.0008
08/03/2012;
09/03/2012;-0.0029
12/03/2012;0.0172
13/03/2012;0.0017
14/03/2012;0.0012
15/03/2012;-0.0001
16/03/2012;-0.0024
19/03/2012;-0.0049
20/03/2012;0.0028
21/03/2012;0.0033
22/03/2012;0.0007
23/03/2012;-0.0041
26/03/2012;0.0061
27/03/2012;-0.0041
28/03/2012;0.0034
29/03/2012;0.0102
30/03/2012;-0.0008
02/04/2012;0.0004
03/04/2012;-0.0017
04/04/2012;-0.0129
05/04/2012;-0.0113
06/04/2012;0.0025
09/04/2012;-0.0019
10/04/2012;-0.0170
11/04/2012;-0.0067
12/04/2012;0.0041
13/04/2012;-0.0039
16/04/2012;-0.0044
17/04/2012;0.0016
18/04/2012;0.0113
19/04/2012;0.0057
20/04/2012;
23/04/2012;-0.0160
24/04/2012;0.0081
25/04/2012;0.0122
26/04/2012;0.0020
27/04/2012;-0.0180
30/04/2012;-0.0011
01/05/2012;-0.0061
02/05/2012;0.0014
03/05/2012;-0.0045
04/05/2012;-0.0128
07/05/2012;-0.0103
08/05/2012;0.0052
09/05/2012;0.0210
10/05/2012;-0.0037
11/05/2012;-0.0092
14/05/2012;0.0000
15/05/2012;0.0097
16/05/2012;-0.0053
17/05/2012;-0.0009
18/05/2012;0.0049
21/05/2012;-0.0091
22/05/2012;0.0055
23/05/2012;0.0213
24/05/2012;-0.0021
25/05/2012;0.0078
28/05/2012;
29/05/2012;-0.0073
30/05/2012;0.0025
31/05/2012;-0.0068
01/06/2012;0.0015
04/06/2012;0.0041
05/06/2012;-0.0110
06/06/2012;-0.0130
07/06/2012;-0.0049
08/06/2012;-0.0014
11/06/2012;0.0019
12/06/2012;0.0184
13/06/2012;-0.0085
14/06/2012;-0.0071
15/06/2012;0.0165
18/06/2012;0.0063
19/06/2012;-0.0004
20/06/2012;-0.0041
21/06/2012;0.0121
22/06/2012;-0.0015
25/06/2012;-0.0045
26/06/2012;0.0060
27/06/2012;0.0013
28/06/2012;-0.0007
29/06/2012;-0.0028
02/07/2012;-0.0034
03/07/2012;-0.0044
04/07/2012;0.0046
05/07/2012;-0.0040
06/07/2012;0.0012
09/07/2012;0.0136
10/07/2012;0.0076
11/07/2012;0.0016
12/07/2012;0.0037
13/07/2012;-0.0037
16/07/2012;0.0010
17/07/2012;-0.0045
18/07/2012;0.0024
19/07/2012;-0.0007
20/07/2012;0.0052
23/07/2012;0.0019
24/07/2012;0.0000
25/07/2012;-0.0003
26/07/2012;0.0055
27/07/2012;
30/07/2012;0.0017
31/07/2012;-0.0099
01/08/2012;-0.0048
02/08/2012;0.0038
03/08/2012;0.0005
06/08/2012;0.0104
07/08/2012;0.0038
08/08/2012;-0.0014
09/08/2012;0.0027
10/08/2012;0.0010
13/08/2012;-0.0022
14/08/2012;0.0052
15/08/2012;-0.0054
16/08/2012;-0.0025
17/08/2012;0.0088
20/08/2012;0.0075
21/08/2012;0.0002
22/08/2012;0.0019
23/08/2012;-0.0025
24/08/2012;-0.0034
27/08/2012;0.0021
28/08/2012;0.0120
29/08/2012;0.0022
30/08/2012;-0.0027
31/08/2012;0.0008
03/09/2012;0.0020
04/09/2012;-0.0026
05/09/2012;0.0095
06/09/2012;0.0020
07/09/2012;0.0025
10/09/2012;-0.0037
11/09/2012;0.0014
12/09/2012;0.0007
13/09/2012;0.0012
14/09/2012;0.0061
17/09/2012;0.0003
18/09/2012;0.0035
19/09/2012;0.0050
20/09/2012;-0.0085
21/09/2012;0.0004
24/09/2012;0.0000
25/09/2012;-0.0074
26/09/2012;-0.0003
27/09/2012;-0.0022
28/09/2012;0.0113
01/10/2012;0.0022
02/10/2012;0.0021
03/10/2012;-0.0053
04/10/2012;0.0019
05/10/2012;0.0025
08/10/2012;0.0063
09/10/2012;0.0024
10/10/2012;0.0023
11/10/2012;0.0010
12/10/2012;-0.0005
15/10/2012;0.0016
16/10/2012;0.0023
17/10/2012;
18/10/2012;-0.0037
19/10/2012;-0.0137
22/10/2012;0.0035
23/10/2012;0.0092
24/10/2012;0.0008
25/10/2012;-0.0028
26/10/2012;0.0088
29/10/2012;0.0040
30/10/2012;-0.0013
31/10/2012;-0.0040
01/11/2012;0.0018
02/11/2012;0.0023
05/11/2012;-0.0010
06/11/2012;0.0012
07/11/2012;0.0087
08/11/2012;0.0011
09/11/2012;-0.0032
12/11/2012;0.0022
13/11/2012;-0.0014
14/11/2012;-0.0037
15/11/2012;-0.0053
16/11/2012;
19/11/2012;0.0043
20/11/2012;0.0070
21/11/2012;-0.0015
22/11/2012;-0.0045
23/11/2012;
26/11/2012;
27/11/2012;-0.0012
28/11/2012;0.0012
29/11/2012;-0.0061
30/11/2012;0.0022
03/12/2012;-0.0005
04/12/2012;0.0019
05/12/2012;0.0063
06/12/2012;0.0048
07/12/2012;
10/12/2012;0.0008
11/12/2012;-0.0009
12/12/2012;-0.0030
13/12/2012;0.0029
14/12/2012;-0.0053
17/12/2012;0.0035
18/12/2012;0.0085
19/12/2012;-0.0113
20/12/2012;-0.0012
21/12/2012;-0.0011
24/12/2012;0.0058
26/12/2012;0.0066
27/12/2012;0.0053
28/12/2012;0.0017
31/12/2012;-0.0010
02/01/2013;0.0007
03/01/2013;0.0014
04/01/2013;-0.0012
07/01/2013;-0.0071
08/01/2013;-0.0033
09/01/2013;0.0076
10/01/2013;0.0076
11/01/2013;0.0010
14/01/2013;-0.0009
15/01/2013;
16/01/2013;0.0028
17/01/2013;-0.0014
18/01/2013;-0.0009
22/01/2013;-0.0036
23/01/2013;-0.0013
24/01/2013;-0.0353
25/01/2013;0.0055
28/01/2013;-0.0026
29/01/2013;-0.0115
30/01/2013;-0.0095
31/01/2013;0.0154
01/02/2013;-0.0025
04/02/2013;0.0071
05/02/2013;0.0007
06/02/2013;0.0027
07/02/2013;-0.0206
08/02/2013;0.0067
11/02/2013;0.0037
12/02/2013;-0.0038
13/02/2013;0.0108
14/02/2013;0.0063
15/02/2013;0.0169
19/02/2013;-0.0003
20/02/2013;0.0011
21/02/2013;0.0010
22/02/2013;-0.0062
25/02/2013;-0.0080
26/02/2013;0.0037
27/02/2013;-0.0012
28/02/2013;0.0026
01/03/2013;0.0092
