tipo_curva;plazo;tasa;date
CCPSS;90;2.69680;3/01/2022
CCPSS;3600;6.32100;3/01/2022
CCPSS;90;2.70460;4/01/2022
CCPSS;3600;6.37696;4/01/2022
CCPSS;90;2.70769;5/01/2022
CCPSS;3600;6.41822;5/01/2022
CCPSS;90;2.71454;6/01/2022
CCPSS;3600;6.46371;6/01/2022
CCPSS;90;2.71727;7/01/2022
CCPSS;3600;6.49683;7/01/2022
CCPSS;90;3.12807;10/01/2022
CCPSS;3600;6.46150;10/01/2022
CCPSS;90;3.18568;11/01/2022
CCPSS;3600;6.40623;11/01/2022
CCPSS;90;3.17965;12/01/2022
CCPSS;3600;6.38836;12/01/2022
CCPSS;90;3.18168;13/01/2022
CCPSS;3600;6.43543;13/01/2022
CCPSS;90;3.18935;14/01/2022
CCPSS;3600;6.48340;14/01/2022
CCPSS;90;3.18981;17/01/2022
CCPSS;3600;6.49615;17/01/2022
CCPSS;90;3.18967;18/01/2022
CCPSS;3600;6.53263;18/01/2022
CCPSS;90;3.17260;19/01/2022
CCPSS;3600;6.48767;19/01/2022
CCPSS;90;3.18066;20/01/2022
CCPSS;3600;6.46098;20/01/2022
CCPSS;90;3.17193;21/01/2022
CCPSS;3600;6.35785;21/01/2022
CCPSS;90;3.17041;24/01/2022
CCPSS;3600;6.33277;24/01/2022
CCPSS;90;3.17594;25/01/2022
CCPSS;3600;6.42146;25/01/2022
CCPSS;90;3.16142;26/01/2022
CCPSS;3600;6.31911;26/01/2022
CCPSS;90;3.15825;27/01/2022
CCPSS;3600;6.26488;27/01/2022
CCPSS;90;3.15705;28/01/2022
CCPSS;3600;6.24465;28/01/2022
CCPSS;90;3.19500;31/01/2022
CCPSS;3600;6.22913;31/01/2022
CCPSS;90;3.17509;1/02/2022
CCPSS;3600;6.29862;1/02/2022
CCPSS;90;3.17455;2/02/2022
CCPSS;3600;6.28921;2/02/2022
CCPSS;90;3.17089;3/02/2022
CCPSS;3600;6.22917;3/02/2022
CCPSS;90;3.18225;4/02/2022
CCPSS;3600;6.36219;4/02/2022
CCPSS;90;3.18396;7/02/2022
CCPSS;3600;6.38572;7/02/2022
CCPSS;90;3.18313;8/02/2022
CCPSS;3600;6.37640;8/02/2022
CCPSS;90;3.18114;9/02/2022
CCPSS;3600;6.34440;9/02/2022
CCPSS;90;3.18323;10/02/2022
CCPSS;3600;6.37327;10/02/2022
CCPSS;90;3.65247;11/02/2022
CCPSS;3600;6.40590;11/02/2022
CCPSS;90;3.65713;14/02/2022
CCPSS;3600;6.37634;14/02/2022
CCPSS;90;3.65810;15/02/2022
CCPSS;3600;6.43783;15/02/2022
CCPSS;90;3.65500;16/02/2022
CCPSS;3600;6.35525;16/02/2022
CCPSS;90;3.64871;17/02/2022
CCPSS;3600;6.29494;17/02/2022
CCPSS;90;3.63107;18/02/2022
CCPSS;3600;6.27163;18/02/2022
CCPSS;90;3.63392;21/02/2022
CCPSS;3600;6.31730;21/02/2022
CCPSS;90;3.63169;22/02/2022
CCPSS;3600;6.28057;22/02/2022
CCPSS;90;3.63071;23/02/2022
CCPSS;3600;6.26438;23/02/2022
CCPSS;90;3.63394;24/02/2022
CCPSS;3600;6.31684;24/02/2022
CCPSS;90;3.63505;25/02/2022
CCPSS;3600;6.35155;25/02/2022
CCPSS;90;3.64030;28/02/2022
CCPSS;3600;6.43445;28/02/2022
CCPSS;90;3.64176;1/03/2022
CCPSS;3600;6.48063;1/03/2022
CCPSS;90;3.64380;2/03/2022
CCPSS;3600;6.51753;2/03/2022
CCPSS;90;3.64650;3/03/2022
CCPSS;3600;6.56740;3/03/2022
CCPSS;90;3.65298;4/03/2022
CCPSS;3600;6.65900;4/03/2022
CCPSS;90;3.66209;7/03/2022
CCPSS;3600;6.78737;7/03/2022
CCPSS;90;3.66472;8/03/2022
CCPSS;3600;6.83475;8/03/2022
CCPSS;90;3.65844;9/03/2022
CCPSS;3600;6.78560;9/03/2022
CCPSS;90;3.66561;10/03/2022
CCPSS;3600;6.88012;10/03/2022
CCPSS;90;4.13673;11/03/2022
CCPSS;3600;6.85800;11/03/2022
CCPSS;90;4.13827;14/03/2022
CCPSS;3600;6.95446;14/03/2022
CCPSS;90;4.13455;15/03/2022
CCPSS;3600;6.92942;15/03/2022
CCPSS;90;4.12443;16/03/2022
CCPSS;3600;6.81914;16/03/2022
CCPSS;90;4.10852;17/03/2022
CCPSS;3600;6.75170;17/03/2022
CCPSS;90;4.09611;18/03/2022
CCPSS;3600;6.72668;18/03/2022
CCPSS;90;4.08836;21/03/2022
CCPSS;3600;6.79945;21/03/2022
CCPSS;90;4.09294;22/03/2022
CCPSS;3600;6.86188;22/03/2022
CCPSS;90;4.09113;23/03/2022
CCPSS;3600;6.83060;23/03/2022
CCPSS;90;4.09587;24/03/2022
CCPSS;3600;6.89795;24/03/2022
CCPSS;90;4.10554;25/03/2022
CCPSS;3600;7.02652;25/03/2022
CCPSS;90;4.10808;28/03/2022
CCPSS;3600;7.06031;28/03/2022
CCPSS;90;4.09985;29/03/2022
CCPSS;3600;6.93838;29/03/2022
CCPSS;90;4.09644;30/03/2022
CCPSS;3600;6.88038;30/03/2022
CCPSS;90;4.09516;31/03/2022
CCPSS;3600;6.85129;31/03/2022
CCPSS;90;4.10457;1/04/2022
CCPSS;3600;6.97219;1/04/2022
CCPSS;90;4.12499;4/04/2022
CCPSS;3600;7.05284;4/04/2022
CCPSS;90;4.13024;5/04/2022
CCPSS;3600;7.11620;5/04/2022
CCPSS;90;4.13691;6/04/2022
CCPSS;3600;7.19017;6/04/2022
CCPSS;90;4.14312;7/04/2022
CCPSS;3600;7.25878;7/04/2022
CCPSS;90;4.14489;8/04/2022
CCPSS;3600;7.27008;8/04/2022
CCPSS;90;4.61542;11/04/2022
CCPSS;3600;7.33239;11/04/2022
CCPSS;90;4.61884;12/04/2022
CCPSS;3600;7.41218;12/04/2022
CCPSS;90;4.61117;13/04/2022
CCPSS;3600;7.52974;13/04/2022
CCPSS;90;4.61117;14/04/2022
CCPSS;3600;7.52974;14/04/2022
CCPSS;90;4.61117;15/04/2022
CCPSS;3600;7.52974;15/04/2022
CCPSS;90;4.58440;18/04/2022
CCPSS;3600;7.58795;18/04/2022
CCPSS;90;4.59535;19/04/2022
CCPSS;3600;7.69703;19/04/2022
CCPSS;90;4.58481;20/04/2022
CCPSS;3600;7.76326;20/04/2022
CCPSS;90;4.57642;21/04/2022
CCPSS;3600;7.87641;21/04/2022
CCPSS;90;4.58240;22/04/2022
CCPSS;3600;7.94648;22/04/2022
CCPSS;90;4.59728;25/04/2022
CCPSS;3600;8.12844;25/04/2022
CCPSS;90;4.61524;26/04/2022
CCPSS;3600;8.35194;26/04/2022
CCPSS;90;4.59909;27/04/2022
CCPSS;3600;8.14229;27/04/2022
CCPSS;90;4.58831;28/04/2022
CCPSS;3600;8.04308;28/04/2022
CCPSS;90;4.59408;29/04/2022
CCPSS;3600;8.10721;29/04/2022
CCPSS;90;4.60261;2/05/2022
CCPSS;3600;8.20808;2/05/2022
CCPSS;90;4.59574;3/05/2022
CCPSS;3600;8.09489;3/05/2022
CCPSS;90;4.59225;4/05/2022
CCPSS;3600;8.04145;4/05/2022
CCPSS;90;4.61017;5/05/2022
CCPSS;3600;8.23602;5/05/2022
CCPSS;90;4.63085;6/05/2022
CCPSS;3600;8.45862;6/05/2022
CCPSS;90;4.64941;9/05/2022
CCPSS;3600;8.65839;9/05/2022
CCPSS;90;4.63712;10/05/2022
CCPSS;3600;8.49080;10/05/2022
CCPSS;90;4.66684;11/05/2022
CCPSS;3600;8.38007;11/05/2022
CCPSS;90;4.61756;12/05/2022
CCPSS;3600;8.28062;12/05/2022
CCPSS;90;5.09806;13/05/2022
CCPSS;3600;8.16601;13/05/2022
CCPSS;90;5.03637;16/05/2022
CCPSS;3600;8.08193;16/05/2022
CCPSS;90;4.99447;17/05/2022
CCPSS;3600;8.11387;17/05/2022
CCPSS;90;4.95737;18/05/2022
CCPSS;3600;8.10313;18/05/2022
CCPSS;90;4.93557;19/05/2022
CCPSS;3600;8.05909;19/05/2022
CCPSS;90;4.92935;20/05/2022
CCPSS;3600;7.97509;20/05/2022
CCPSS;90;4.92890;23/05/2022
CCPSS;3600;7.96434;23/05/2022
CCPSS;90;4.89105;24/05/2022
CCPSS;3600;7.88765;24/05/2022
CCPSS;90;4.88206;25/05/2022
CCPSS;3600;7.76303;25/05/2022
CCPSS;90;4.87130;26/05/2022
CCPSS;3600;7.61950;26/05/2022
CCPSS;90;4.87099;27/05/2022
CCPSS;3600;7.60746;27/05/2022
CCPSS;90;4.87113;30/05/2022
CCPSS;3600;7.60723;30/05/2022
CCPSS;90;4.87933;31/05/2022
CCPSS;3600;7.70502;31/05/2022
CCPSS;90;4.87910;1/06/2022
CCPSS;3600;7.69786;1/06/2022
CCPSS;90;4.88285;2/06/2022
CCPSS;3600;7.73951;2/06/2022
CCPSS;90;4.88970;3/06/2022
CCPSS;3600;7.81664;3/06/2022
CCPSS;90;4.89959;6/06/2022
CCPSS;3600;7.93589;6/06/2022
CCPSS;90;4.89398;7/06/2022
CCPSS;3600;7.86146;7/06/2022
CCPSS;90;4.89787;8/06/2022
CCPSS;3600;7.89858;8/06/2022
CCPSS;90;4.90146;9/06/2022
CCPSS;3600;7.94178;9/06/2022
CCPSS;90;5.49480;10/06/2022
CCPSS;3600;7.94678;10/06/2022
CCPSS;90;5.53643;13/06/2022
CCPSS;3600;8.07044;13/06/2022
CCPSS;90;5.57050;14/06/2022
CCPSS;3600;8.18344;14/06/2022
CCPSS;90;5.51284;15/06/2022
CCPSS;3600;8.15904;15/06/2022
CCPSS;90;5.49524;16/06/2022
CCPSS;3600;8.03674;16/06/2022
CCPSS;90;5.46391;17/06/2022
CCPSS;3600;7.89739;17/06/2022
CCPSS;90;5.44898;20/06/2022
CCPSS;3600;7.85116;20/06/2022
CCPSS;90;5.45027;21/06/2022
CCPSS;3600;7.90520;21/06/2022
CCPSS;90;5.45273;22/06/2022
CCPSS;3600;7.93490;22/06/2022
CCPSS;90;5.44641;23/06/2022
CCPSS;3600;7.84519;23/06/2022
CCPSS;90;5.43838;24/06/2022
CCPSS;3600;7.90895;24/06/2022
