pendiente;pbi;desempleo;tc;embig;cu;au
-0.020333;3.022539054;0.086184574;-0.037486123;176.7619048;-0.031174311;-0.017765985
-0.2001;4.799234797;0.08899918;-0.025367738;197.75;0.02915592;0.056437577
-0.623478;3.864713578;0.094117095;-0.013898304;200.7391304;0.064650761;0.027656314
-0.713421;4.022306398;0.082638608;0.000637338;186.6666667;-0.075031087;-0.021885655
-0.785955;2.525451541;0.072114008;0.004340203;217.5454545;-0.025152058;-0.033672499
-1.012572;3.710337168;0.067786398;-0.00235532;213.5454545;-0.147350561;-0.022486381
-1.462263;1.984106718;0.068309245;0.040518161;235.4285714;-0.0370667;-0.01420993
-2.158636;2.003986698;0.073224503;-0.00768366;211;-0.015788318;-0.031701629
-1.648227;2.164404106;0.076733621;0.006535872;225.2734545;-0.030731698;-0.024216246
-1.013126;2.622359359;0.071655817;0.020408273;242.5870952;-0.011049836;-0.017965631
-1.785619;2.231179756;0.076196986;-0.026165552;203.4069091;0.102155385;0.070116175
-2.261289;1.340563809;0.071125434;-0.012355196;195.5;0.019209705;0.03710375
-2.451603;-0.635087255;0.080105823;0.001260577;207.0454545;0.103495505;0.063105783
-2.264265;-0.494449278;0.0732943;0.001994782;192.3;-0.036630601;-0.057152418
-2.417217;0.764393622;0.074841582;-0.01635051;203.826087;0.005019292;0.078281208
-2.541262;0.659564462;0.070723929;-0.003634617;201.9;-0.053500226;0.007060491
-2.449637;-1.197359709;0.067787792;-0.020601909;197.3913043;-0.064985218;-0.018098684
-2.420048;-0.708811315;0.065515218;-0.010423498;181.0909091;0.033126804;-0.026947815
-2.475;-1.033106336;0.062643375;-0.013559573;168.9047619;0.064006394;0.040527559
-2.096182;-0.006807911;0.066376805;0.026447048;167.2272727;-0.047518518;-0.021786477
-1.726809;-0.933171646;0.067313526;0.008945574;169.0952381;-0.022356907;-0.041810156
-0.871681;-0.73485734;0.065541155;0.030295988;179.9545455;-0.023963781;0.056153112
-0.886381;0.645009679;0.065629687;-0.022340572;175.1818182;0.053749853;0.02172489
-1.320842;-1.020884268;0.063861844;-0.007165894;162.4285714;0.010334674;0.016399793
-0.860381;1.597528351;0.071808737;0.001819676;170.4347826;0.006788371;-0.006974745
-0.533572;3.154827732;0.072943639;0.023042085;160.2857143;-0.018032431;-0.001313198
-0.462158;-0.520703829;0.07705906;-0.031566841;152.6666667;0.045231287;0.080570439
-0.06291;5.387132371;0.076876683;0.001627782;153.7727273;0.125455391;0.033468908
0.166182;5.342196872;0.072151692;0.004483959;155.826087;0.00851069;0.01337149
0.137632;0.145636363;0.066352549;0.014625115;160.9;-0.048301366;0.007257546
0.1504;4.65227041;0.059598411;-0.00597823;158.6956522;-0.048716051;0.041004036
-0.07175;3.731379477;0.0606584;-0.005937946;169.5;-0.002277223;0.026868069
-0.05;3.19449024;0.059340387;0.007219465;162.5789474;0.088590004;0.051096534
0.428;3.530971434;0.057474473;-0.003880807;153.68;-0.047912008;0.042043349
0.7952;4.135727393;0.056679103;0.006576348;155.2631579;-0.04717856;-0.029620363
0.885789;4.919384623;0.055272259;-0.011603606;154.3809524;-0.032652956;-0.010385711
1.222773;4.264127079;0.061539968;0.003043356;156.7619048;0.075444025;0.066237789
1.12915;2.803048781;0.062966742;-0.013453791;158.25;0.046683054;0.009548623
0.994953;4.673995312;0.065551582;-0.012073152;163.3548387;0.103260023;0.091229983
1.1875;1.40112496;0.059109933;0.012932974;177.5714286;-0.08541902;0.073485888
1.271953;2.672021559;0.055887642;-0.0109012;158.5806452;0.020083368;-0.005228925
1.291238;4.516269805;0.063712763;-0.01589628;153.8333333;0.077708984;0.001726191
