Date;Rate
01/04/2020;0.0219744
02/04/2020;0.0230509
03/04/2020;0.0257077
06/04/2020;0.0262822
07/04/2020;0.0255702
08/04/2020;0.0259938
09/04/2020;0.0231063
10/04/2020;0.0231202
13/04/2020;0.0226977
14/04/2020;0.0119531
15/04/2020;0.0124755
16/04/2020;0.0139736
17/04/2020;0.0135616
20/04/2020;0.013466
21/04/2020;0.0136801
22/04/2020;0.0140326
23/04/2020;0.0141337
24/04/2020;0.014156
27/04/2020;0.0142848
28/04/2020;0.0144023
29/04/2020;0.0138167
30/04/2020;0.0135348
01/05/2020;0.0134848
04/05/2020;0.0134921
05/05/2020;0.0135008
06/05/2020;0.0137881
07/05/2020;0.0140685
08/05/2020;0.0142508
11/05/2020;0.0141459
12/05/2020;0.014227
13/05/2020;0.0150055
14/05/2020;0.0143627
15/05/2020;0.0141904
18/05/2020;0.0125934
19/05/2020;0.0126193
20/05/2020;0.0115038
21/05/2020;0.0108149
22/05/2020;0.0107323
25/05/2020;0.0106903
26/05/2020;0.0098686
27/05/2020;0.0099841
28/05/2020;0.009813
29/05/2020;0.0099331
01/06/2020;0.0100901
02/06/2020;0.0098548
03/06/2020;0.0093266
04/06/2020;0.0091825
05/06/2020;0.009497
08/06/2020;0.0091148
09/06/2020;0.0091038
10/06/2020;0.0086605
11/06/2020;0.0089959
12/06/2020;0.0089836
15/06/2020;0.0096641
16/06/2020;0.0093693
17/06/2020;0.0094548
18/06/2020;0.0091453
19/06/2020;0.0090953
22/06/2020;0.0090101
23/06/2020;0.009192
24/06/2020;0.0089072
25/06/2020;0.0088361
26/06/2020;0.0091345
29/06/2020;0.0094801
30/06/2020;0.0095404
01/07/2020;0.0095702
02/07/2020;0.0090965
03/07/2020;0.0098776
06/07/2020;0.0099391
07/07/2020;0.0099394
08/07/2020;0.0096256
09/07/2020;0.0094064
10/07/2020;0.0093138
13/07/2020;0.0089218
14/07/2020;0.0092125
15/07/2020;0.0090409
16/07/2020;0.0088207
17/07/2020;0.0090533
20/07/2020;0.0085725
21/07/2020;0.0086921
22/07/2020;0.0084905
23/07/2020;0.0079426
24/07/2020;0.0078025
27/07/2020;0.0075347
28/07/2020;0.007435
29/07/2020;0.007144
30/07/2020;0.0062243
31/07/2020;0.0056336
03/08/2020;0.0055067
04/08/2020;0.0052757
05/08/2020;0.0049068
06/08/2020;0.0049892
07/08/2020;0.0054998
10/08/2020;0.0057351
11/08/2020;0.0064462
12/08/2020;0.0067932
13/08/2020;0.006798
14/08/2020;0.0070167
17/08/2020;0.0071823
18/08/2020;0.007261
19/08/2020;0.007268
20/08/2020;0.0072839
21/08/2020;0.0073876
24/08/2020;0.0071992
25/08/2020;0.0072731
26/08/2020;0.0073332
27/08/2020;0.0073636
28/08/2020;0.0071425
31/08/2020;0.0072555
01/09/2020;0.0065673
02/09/2020;0.0065812
03/09/2020;0.0064872
04/09/2020;0.0063148
07/09/2020;0.006296
08/09/2020;0.0064032
09/09/2020;0.006457
10/09/2020;0.0065324
11/09/2020;0.0071472
14/09/2020;0.0069455
15/09/2020;0.006904
16/09/2020;0.006933
17/09/2020;0.0069842
18/09/2020;0.0069269
21/09/2020;0.0067961
22/09/2020;0.0074837
23/09/2020;0.0079187
24/09/2020;0.0077391
25/09/2020;0.0076476
28/09/2020;0.0072947
29/09/2020;0.0073973
30/09/2020;0.0073723
01/10/2020;0.0073635
02/10/2020;0.0073451
05/10/2020;0.0071657
06/10/2020;0.0071043
07/10/2020;0.006949
08/10/2020;0.0062458
09/10/2020;0.0064367
12/10/2020;0.0065837
13/10/2020;0.0064886
14/10/2020;0.006373
15/10/2020;0.0059876
16/10/2020;0.0064386
19/10/2020;0.0064399
20/10/2020;0.0067845
21/10/2020;0.0067343
22/10/2020;0.0068133
23/10/2020;0.0068307
26/10/2020;0.0067956
27/10/2020;0.0069765
28/10/2020;0.0069175
29/10/2020;0.0072545
30/10/2020;0.0070771
02/11/2020;0.0070513
03/11/2020;0.0067994
04/11/2020;0.0061737
05/11/2020;0.006241
06/11/2020;0.0071373
09/11/2020;0.0071484
10/11/2020;0.0064109
11/11/2020;0.0060985
12/11/2020;0.0058448
13/11/2020;0.0054045
16/11/2020;0.0061764
17/11/2020;0.0062049
18/11/2020;0.0062373
19/11/2020;0.0058721
20/11/2020;0.0056391
23/11/2020;0.0059756
24/11/2020;0.0060028
25/11/2020;0.0054106
26/11/2020;0.0060048
27/11/2020;0.0065998
30/11/2020;0.0069619
01/12/2020;0.0067712
02/12/2020;0.0065554
03/12/2020;0.0064629
04/12/2020;0.0063336
07/12/2020;0.0065297
08/12/2020;0.0065356
09/12/2020;0.0064701
10/12/2020;0.0064582
11/12/2020;0.0065148
14/12/2020;0.0063817
15/12/2020;0.0060794
16/12/2020;0.0055884
17/12/2020;0.0054969
18/12/2020;0.0055113
21/12/2020;0.005376
22/12/2020;0.0054756
23/12/2020;0.0052469
24/12/2020;0.0053136
28/12/2020;0.0053311
29/12/2020;0.0055235
30/12/2020;0.0055498
31/12/2020;0.0050899
04/01/2021;0.0053138
05/01/2021;0.0054655
06/01/2021;0.0056337
07/01/2021;0.005994
08/01/2021;0.005736
11/01/2021;0.0064177
12/01/2021;0.0065761
13/01/2021;0.0061465
14/01/2021;0.0063777
15/01/2021;0.0063445
18/01/2021;0.0063617
19/01/2021;0.0062813
20/01/2021;0.0060506
21/01/2021;0.0061749
22/01/2021;0.0059202
25/01/2021;0.0057118
26/01/2021;0.0057133
27/01/2021;0.0056191
28/01/2021;0.0056382
29/01/2021;0.0056638
01/02/2021;0.0060487
02/02/2021;0.0060197
03/02/2021;0.0062209
04/02/2021;0.0065146
05/02/2021;0.0065185
08/02/2021;0.0064366
09/02/2021;0.0061656
10/02/2021;0.0061375
11/02/2021;0.0059836
12/02/2021;0.0059367
15/02/2021;0.0057676
16/02/2021;0.006024
17/02/2021;0.0059363
18/02/2021;0.0059476
19/02/2021;0.0058406
22/02/2021;0.0059271
23/02/2021;0.0063916
24/02/2021;0.0063959
25/02/2021;0.0063489
26/02/2021;0.0065561
01/03/2021;0.0068331
02/03/2021;0.007163
03/03/2021;0.0073376
04/03/2021;0.0070693
05/03/2021;0.007727
08/03/2021;0.0093617
09/03/2021;0.0084962
10/03/2021;0.0087297
11/03/2021;0.0088113
12/03/2021;0.008539
15/03/2021;0.008133
16/03/2021;0.0080028
17/03/2021;0.0079849
18/03/2021;0.0080448
19/03/2021;0.0076925
22/03/2021;0.0070567
23/03/2021;0.0069759
24/03/2021;0.0071958
25/03/2021;0.0072248
26/03/2021;0.0070541
29/03/2021;0.0067581
30/03/2021;0.0069358
31/03/2021;0.0066972
01/04/2021;0.0064359
02/04/2021;0.0062672
05/04/2021;0.0061502
06/04/2021;0.0063019
07/04/2021;0.0066866
08/04/2021;0.0067043
09/04/2021;0.0068225
12/04/2021;0.0073427
13/04/2021;0.0076596
14/04/2021;0.0075376
15/04/2021;0.0077361
16/04/2021;0.0077201
19/04/2021;0.0079957
20/04/2021;0.0085682
21/04/2021;0.0097501
22/04/2021;0.0096911
23/04/2021;0.0093457
26/04/2021;0.0094607
27/04/2021;0.0093856
28/04/2021;0.0090868
29/04/2021;0.0088496
30/04/2021;0.0085597
03/05/2021;0.0086067
04/05/2021;0.0088468
05/05/2021;0.0092437
06/05/2021;0.0090653
07/05/2021;0.0087134
10/05/2021;0.0087005
11/05/2021;0.0087639
12/05/2021;0.0085927
13/05/2021;0.0087495
14/05/2021;0.0083995
17/05/2021;0.0083713
18/05/2021;0.0084346
19/05/2021;0.0085224
20/05/2021;0.0085316
21/05/2021;0.008859
24/05/2021;0.0091124
25/05/2021;0.0090047
26/05/2021;0.0087178
27/05/2021;0.0084767
28/05/2021;0.0082786
31/05/2021;0.0082786
01/06/2021;0.0082757
02/06/2021;0.0082835
03/06/2021;0.0079402
04/06/2021;0.0078791
07/06/2021;0.0096367
08/06/2021;0.0090804
09/06/2021;0.0087666
10/06/2021;0.0087404
11/06/2021;0.0082059
14/06/2021;0.0082846
15/06/2021;0.0082107
16/06/2021;0.0079146
17/06/2021;0.0073487
18/06/2021;0.007228
21/06/2021;0.0074076
22/06/2021;0.0076485
23/06/2021;0.0076732
24/06/2021;0.0075007
25/06/2021;0.0075582
28/06/2021;0.0075218
29/06/2021;0.0075653
30/06/2021;0.0075488
01/07/2021;0.0075238
02/07/2021;0.0075571
05/07/2021;0.0076874
06/07/2021;0.0079351
07/07/2021;0.0078967
08/07/2021;0.0081873
09/07/2021;0.0081651
12/07/2021;0.0080728
13/07/2021;0.0079488
14/07/2021;0.0077669
15/07/2021;0.0077155
16/07/2021;0.0076785
19/07/2021;0.007839
20/07/2021;0.0080013
21/07/2021;0.008228
22/07/2021;0.0082701
23/07/2021;0.0083156
26/07/2021;0.0083557
27/07/2021;0.0085153
28/07/2021;0.0084835
29/07/2021;0.0088543
30/07/2021;0.0092222
02/08/2021;0.0089715
03/08/2021;0.0085361
04/08/2021;0.0082028
05/08/2021;0.0079023
06/08/2021;0.0079184
09/08/2021;0.0078601
10/08/2021;0.0083112
11/08/2021;0.0087344
12/08/2021;0.0086876
13/08/2021;0.0087219
16/08/2021;0.0089251
17/08/2021;0.0087576
18/08/2021;0.008423
19/08/2021;0.0081007
20/08/2021;0.0081336
23/08/2021;0.0080347
24/08/2021;0.0076646
25/08/2021;0.0075083
26/08/2021;0.0074832
27/08/2021;0.0075834
30/08/2021;0.0076705
